Coo_tpi,Coo_app,Roo_outward,productCode,reporter,FtaScope,Roo_packaging,Roo_fungible,FtaCode,Roo_exhibitions,Roo_wo,FtaName,Coo_valid,Coo_comp,Roo_indir,RooCode_1,Coo_exmptcoo,RooText_1,Roo_demin,Coo_pen,FtaId,RooCode_0,Coo_err,Roo_rvcformula,Coo_ver,Roo_accum,Coo_refund,Preferential,RooText_0,FtaType,partner,Roo_trans,Coo_coo,Coo_retention,FtaStatusDate,rank,Roo_sets,MFN,Roo_mo,Roo_draw,Coo_sup,Roo_roll,Roo_accessories,Roo_terr,Coo_adv,ProductAffected_0,Coo_approved,ProductAffected_1,FtaStatusDesc
,,,8703900000,702,,,,,,,,,,,,,,,,199,,,,,,,,,,608,,,,,3,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,197,,,,,,,,,,116,,,,,1,,,,,,,,,,,,,
,,,8703900000,757,,,,,,,,,,,,,,,,326,,,,,,,,,,352,,,,,1,,,,,,,,,,,,,
,,,8703900000,438,,,,,,,,,,,,,,,,337,,,,,,,,,,410,,,,,2,,,,,,,,,,,,,
,,,8703900000,702,,,,,,,,,,,,,,,,139,,,,,,,,,,608,,,,,5,,,,,,,,,,,,,
provided,not provided,not included,8703900000,458,"Plurilateral, Country-Group",included,materials only,ITC00144,not included,provided,"EPA, ASEAN-Japan",1 year (for single shipment),not provided,included,,included (less than JPY 200000 or USD 200),,included (7 or 10%),provided,139,RVC 40%,provided,build down,Indirect,bilateral,within 12 months,,RVC 40%,Free trade agreement,392,included,authorized body,3 years,01.02.2009,5,not included,,provided,not included,provided,included,included,included,not provided,,not included,,IN FORCE
,,,8703900000,418,,,,,,,,,,,,,,,,68,,,,,,,,,,418,,,,,1,,,,,,,,,,,,,
,,,8703900000,704,,,,,,,,,,,,,,,,94,,,,,,,,,,096,,,,,2,,,,,,,,,,,,,
,,,8703900000,392,,,,,,,,,,,,,,,,139,,,,,,,,,,116,,,,,4,,,,,,,,,,,,,
,,,8703900000,764,,,,,,,,,,,,,,,,139,,,,,,,,,,360,,,,,1,,,,,,,,,,,,,
not provided,not provided,not included,8703900000,496,"Plurilateral, Country-Country",included,not included,ITC00069,included,provided,APTA (formerly Bangkok Agreement),1 year,provided,not included,,not included,,not included,not provided,68,RVC 45% (35% for APTA LDCs),provided,import content,Indirect,diagonal,not included,,"(a) Within the meaning of Rule 1(b), products worked on or processed as a result of which the total value of the materials, parts or produce originating from nonParticipating States or of undetermined origin used does not exceed 55 per cent of the f.o.b. value of the products produced or obtained and the final process of manufacture is performed within the territory of the exporting Participating State shall be eligible for preferential concessions, subject to the provisions of Rule 3(c), (d) and (e). RULE 10: Special criteria percentage Products originating in least developed Participating States can be allowed a favorable 10 percentage points applied to the percentages established in Rules 3 and 4. Thus, for Rule 3, the percentage would not exceed 65 percent, and for Rule 4, the percentage would not be less than 50 percent.",Partial scope agreement,410,included,authorized body,2 years,01.01.2021,4,not included,8%,provided,not included,provided,not included,not included,not included,not provided,,not included,,IN FORCE
,,,8703900000,608,,,,,,,,,,,,,,,,94,,,,,,,,,,418,,,,,5,,,,,,,,,,,,,
